Metric,CRC-8,CRC-16,CRC-32,Salsa20,VMPC,ImgBin,ColorGrade,Geomean
Total Time (s),8.33E+00,8.74E+00,8.55E+00,1.53E+01,5.40E+00,1.62E-02,8.85E-03,1.33E+00
Energy (J),6.95E-05,7.29E-05,7.14E-05,1.28E-04,4.5E-05,1.41E-01,7.75E-02,5.83E-04
