Metric,CRC-8,CRC-16,CRC-32,Salsa20,VMPC,ImgBin,ColorGrade,Geomean
Total Time (s),2.98E-03,2.99E-03,3.00E-03,2.54E-01,1.54E-01,3.16E-05,4.63E-05,5.67E-03
Energy (J),1.65E-07,1.65E-07,1.66E-07,1.4E-05,8.5E-06,1.83E-03,2.69E-03,8.27E-06
