Metric,CRC-8,CRC-16,CRC-32,Salsa20,VMPC,ImgBin,ColorGrade,Geomean
Total Time (s),1.62E-03,1.62E-03,1.63E-03,4.15E-01,3.63E-01,1.79E-05,2.13E-05,4.39E-03
Energy (J),1.76E-07,1.77E-07,1.77E-07,4.52E-05,3.96E-05,1.96E-03,2.32E-03,1.2E-05
