workload,memory,parallelism,tXAW,energy (nJ),execution time (ns)
Salsa20,DDR4,256,0.0,522123237.6431,1924853.8184
Salsa20,DDR4,256,6.664,522123237.6431,2151323.1944
Salsa20,DDR4,256,13.328,522123237.6431,2377792.5704
Salsa20,DDR4,2048,0.0,522123237.6431,240606.7784
Salsa20,DDR4,2048,6.664,522123237.6431,268915.4504
Salsa20,DDR4,2048,13.328,522123237.6431,297224.1224
VMPC,DDR4,1,0.0,44561219.1360,1900563582.7200
VMPC,DDR4,1,6.664,44561219.1360,1900563582.7200
VMPC,DDR4,1,13.328,44561219.1360,1900563582.7200
VMPC,DDR4,16,0.0,44561219.1360,118785223.9200
VMPC,DDR4,16,6.664,44561219.1360,132760898.0800
VMPC,DDR4,16,13.328,44561219.1360,146736572.2400
VMPC,DDR4,256,0.0,44561219.1360,7426452.7200
VMPC,DDR4,256,6.664,44561219.1360,8300169.7600
VMPC,DDR4,256,13.328,44561219.1360,9173886.8000
VMPC,DDR4,2048,0.0,44561219.1360,930524.4000
VMPC,DDR4,2048,6.664,44561219.1360,1039960.6080
VMPC,DDR4,2048,13.328,44561219.1360,1149396.8160
BitWiseOps,DDR4,1,0.0,2775.4240,118717.4400
BitWiseOps,DDR4,1,6.664,2775.4240,118717.4400
BitWiseOps,DDR4,1,13.328,2775.4240,118717.4400
BitWiseOps,DDR4,16,0.0,2775.4240,7419.8400
BitWiseOps,DDR4,16,6.664,2775.4240,8292.8240
BitWiseOps,DDR4,16,13.328,2775.4240,9165.8080
BitWiseOps,DDR4,256,0.0,2775.4240,7419.8400
BitWiseOps,DDR4,256,6.664,2775.4240,8292.8240
BitWiseOps,DDR4,256,13.328,2775.4240,9165.8080
BitWiseOps,DDR4,2048,0.0,2775.4240,7419.8400
BitWiseOps,DDR4,2048,6.664,2775.4240,8292.8240
BitWiseOps,DDR4,2048,13.328,2775.4240,9165.8080
BitCount,DDR4,1,0.0,2719.7440,115998.7200
BitCount,DDR4,1,6.664,2719.7440,115998.7200
BitCount,DDR4,1,13.328,2719.7440,115998.7200
BitCount,DDR4,16,0.0,2719.7440,7249.9200
BitCount,DDR4,16,6.664,2719.7440,8102.9120
BitCount,DDR4,16,13.328,2719.7440,8955.9040
BitCount,DDR4,256,0.0,2719.7440,7249.9200
BitCount,DDR4,256,6.664,2719.7440,8102.9120
BitCount,DDR4,256,13.328,2719.7440,8955.9040
BitCount,DDR4,2048,0.0,2719.7440,7249.9200
BitCount,DDR4,2048,6.664,2719.7440,8102.9120
BitCount,DDR4,2048,13.328,2719.7440,8955.9040
BitCount_short,DDR4,1,0.0,169.9840,7249.9200
BitCount_short,DDR4,1,6.664,169.9840,7249.9200
BitCount_short,DDR4,1,13.328,169.9840,7249.9200
BitCount_short,DDR4,16,0.0,169.9840,453.1200
BitCount_short,DDR4,16,6.664,169.9840,506.4320
BitCount_short,DDR4,16,13.328,169.9840,559.7440
BitCount_short,DDR4,256,0.0,169.9840,453.1200
BitCount_short,DDR4,256,6.664,169.9840,506.4320
BitCount_short,DDR4,256,13.328,169.9840,559.7440
BitCount_short,DDR4,2048,0.0,169.9840,453.1200
BitCount_short,DDR4,2048,6.664,169.9840,506.4320
BitCount_short,DDR4,2048,13.328,169.9840,559.7440
ImgBin,DDR4,1,0.0,2719.7440,115998.7200
ImgBin,DDR4,1,6.664,2719.7440,115998.7200
ImgBin,DDR4,1,13.328,2719.7440,115998.7200
ImgBin,DDR4,16,0.0,2719.7440,7249.9200
ImgBin,DDR4,16,6.664,2719.7440,8102.9120
ImgBin,DDR4,16,13.328,2719.7440,8955.9040
ImgBin,DDR4,256,0.0,2719.7440,7249.9200
ImgBin,DDR4,256,6.664,2719.7440,8102.9120
ImgBin,DDR4,256,13.328,2719.7440,8955.9040
ImgBin,DDR4,2048,0.0,2719.7440,7249.9200
ImgBin,DDR4,2048,6.664,2719.7440,8102.9120
ImgBin,DDR4,2048,13.328,2719.7440,8955.9040
ColorGrade,DDR4,1,0.0,2719.7440,115998.7200
ColorGrade,DDR4,1,6.664,2719.7440,115998.7200
ColorGrade,DDR4,1,13.328,2719.7440,115998.7200
ColorGrade,DDR4,16,0.0,2719.7440,7249.9200
ColorGrade,DDR4,16,6.664,2719.7440,8102.9120
ColorGrade,DDR4,16,13.328,2719.7440,8955.9040
ColorGrade,DDR4,256,0.0,2719.7440,7249.9200
ColorGrade,DDR4,256,6.664,2719.7440,8102.9120
ColorGrade,DDR4,256,13.328,2719.7440,8955.9040
ColorGrade,DDR4,2048,0.0,2719.7440,7249.9200
ColorGrade,DDR4,2048,6.664,2719.7440,8102.9120
ColorGrade,DDR4,2048,13.328,2719.7440,8955.9040
LeNet4,DDR4,1,0.0,81315.7012,144941.7600
LeNet4,DDR4,1,6.664,81315.7012,144941.7600
LeNet4,DDR4,1,13.328,81315.7012,144941.7600
LeNet4,DDR4,16,0.0,81315.7012,30245.7600
LeNet4,DDR4,16,6.664,81315.7012,33777.6800
LeNet4,DDR4,16,13.328,81315.7012,37309.6000
LeNet4,DDR4,256,0.0,81315.7012,30245.7600
LeNet4,DDR4,256,6.664,81315.7012,33777.6800
LeNet4,DDR4,256,13.328,81315.7012,37309.6000
LeNet4,DDR4,2048,0.0,81315.7012,30245.7600
LeNet4,DDR4,2048,6.664,81315.7012,33777.6800
LeNet4,DDR4,2048,13.328,81315.7012,37309.6000
LeNet1,DDR4,1,0.0,20328.9253,36164.6400
LeNet1,DDR4,1,6.664,20328.9253,36164.6400
LeNet1,DDR4,1,13.328,20328.9253,36164.6400
LeNet1,DDR4,16,0.0,20328.9253,23165.7600
LeNet1,DDR4,16,6.664,20328.9253,25858.0160
LeNet1,DDR4,16,13.328,20328.9253,28550.2720
LeNet1,DDR4,256,0.0,20328.9253,23165.7600
LeNet1,DDR4,256,6.664,20328.9253,25858.0160
LeNet1,DDR4,256,13.328,20328.9253,28550.2720
LeNet1,DDR4,2048,0.0,20328.9253,23165.7600
LeNet1,DDR4,2048,6.664,20328.9253,25858.0160
LeNet1,DDR4,2048,13.328,20328.9253,28550.2720
VecAdd4_KSA,3DS,512,0.0,22743.0400,1397.4000
VecAdd4_KSA,3DS,512,6.664,22743.0400,1590.6560
VecAdd4_KSA,3DS,512,13.328,22743.0400,1783.9120
VecAdd4_KSA,3DS,8192,0.0,22743.0400,1397.4000
VecAdd4_KSA,3DS,8192,6.664,22743.0400,1590.6560
VecAdd4_KSA,3DS,8192,13.328,22743.0400,1783.9120
VecAdd8,3DS,512,0.0,29870.0800,1825.8000
VecAdd8,3DS,512,6.664,29870.0800,2079.0320
VecAdd8,3DS,512,13.328,29870.0800,2332.2640
VecAdd8,3DS,8192,0.0,29870.0800,1825.8000
VecAdd8,3DS,8192,6.664,29870.0800,2079.0320
VecAdd8,3DS,8192,13.328,29870.0800,2332.2640
VecMulQ8,3DS,512,0.0,437923.8400,26458.8000
VecMulQ8,3DS,512,6.664,437923.8400,30650.4560
VecMulQ8,3DS,512,13.328,437923.8400,34842.1120
VecMulQ8,3DS,8192,0.0,437923.8400,26458.8000
VecMulQ8,3DS,8192,6.664,437923.8400,30650.4560
VecMulQ8,3DS,8192,13.328,437923.8400,34842.1120
VecMulQ16,3DS,512,0.0,1555363.8400,93840.0000
VecMulQ16,3DS,512,6.664,1555363.8400,108927.2960
VecMulQ16,3DS,512,13.328,1555363.8400,124014.5920
VecMulQ16,3DS,8192,0.0,1555363.8400,93840.0000
VecMulQ16,3DS,8192,6.664,1555363.8400,108927.2960
VecMulQ16,3DS,8192,13.328,1555363.8400,124014.5920
CRC8,3DS,512,0.0,357556027.3920,5347737.6268
CRC8,3DS,512,6.664,357556027.3920,6221201.4348
CRC8,3DS,512,13.328,357556027.3920,7094665.2428
CRC8,3DS,8192,0.0,357556027.3920,334233.6268
CRC8,3DS,8192,6.664,357556027.3920,388825.1148
CRC8,3DS,8192,13.328,357556027.3920,443416.6028
CRC16,3DS,512,0.0,357556027.3920,5347737.6268
CRC16,3DS,512,6.664,357556027.3920,6221201.4348
CRC16,3DS,512,13.328,357556027.3920,7094665.2428
CRC16,3DS,8192,0.0,357556027.3920,334233.6268
CRC16,3DS,8192,6.664,357556027.3920,388825.1148
CRC16,3DS,8192,13.328,357556027.3920,443416.6028
CRC32,3DS,512,0.0,357556027.3920,5347737.6268
CRC32,3DS,512,6.664,357556027.3920,6221201.4348
CRC32,3DS,512,13.328,357556027.3920,7094665.2428
CRC32,3DS,8192,0.0,357556027.3920,334233.6268
CRC32,3DS,8192,6.664,357556027.3920,388825.1148
CRC32,3DS,8192,13.328,357556027.3920,443416.6028
Salsa20,3DS,512,0.0,1442135932.9280,22184755.3074
Salsa20,3DS,512,6.664,1442135932.9280,25808265.3234
Salsa20,3DS,512,13.328,1442135932.9280,29431775.3394
Salsa20,3DS,8192,0.0,1442135932.9280,1386547.3074
Salsa20,3DS,8192,6.664,1442135932.9280,1613016.6834
Salsa20,3DS,8192,13.328,1442135932.9280,1839486.0594
VMPC,3DS,512,0.0,1425959012.3520,85565627.4000
VMPC,3DS,512,6.664,1425959012.3520,99541301.5600
VMPC,3DS,512,13.328,1425959012.3520,113516975.7200
VMPC,3DS,8192,0.0,1425959012.3520,5349563.4000
VMPC,3DS,8192,6.664,1425959012.3520,6223280.4400
VMPC,3DS,8192,13.328,1425959012.3520,7096997.4800
BitWiseOps,3DS,512,0.0,88813.5680,5344.8000
BitWiseOps,3DS,512,6.664,88813.5680,6217.7840
BitWiseOps,3DS,512,13.328,88813.5680,7090.7680
BitWiseOps,3DS,8192,0.0,88813.5680,5344.8000
BitWiseOps,3DS,8192,6.664,88813.5680,6217.7840
BitWiseOps,3DS,8192,13.328,88813.5680,7090.7680
BitCount,3DS,512,0.0,87031.8080,5222.4000
BitCount,3DS,512,6.664,87031.8080,6075.3920
BitCount,3DS,512,13.328,87031.8080,6928.3840
BitCount,3DS,8192,0.0,87031.8080,5222.4000
BitCount,3DS,8192,6.664,87031.8080,6075.3920
BitCount,3DS,8192,13.328,87031.8080,6928.3840
BitCount_short,3DS,512,0.0,5439.4880,326.4000
BitCount_short,3DS,512,6.664,5439.4880,379.7120
BitCount_short,3DS,512,13.328,5439.4880,433.0240
BitCount_short,3DS,8192,0.0,5439.4880,326.4000
BitCount_short,3DS,8192,6.664,5439.4880,379.7120
BitCount_short,3DS,8192,13.328,5439.4880,433.0240
ImgBin,3DS,512,0.0,87031.8080,5222.4000
ImgBin,3DS,512,6.664,87031.8080,6075.3920
ImgBin,3DS,512,13.328,87031.8080,6928.3840
ImgBin,3DS,8192,0.0,87031.8080,5222.4000
ImgBin,3DS,8192,6.664,87031.8080,6075.3920
ImgBin,3DS,8192,13.328,87031.8080,6928.3840
ColorGrade,3DS,512,0.0,87031.8080,5222.4000
ColorGrade,3DS,512,6.664,87031.8080,6075.3920
ColorGrade,3DS,512,13.328,87031.8080,6928.3840
ColorGrade,3DS,8192,0.0,87031.8080,5222.4000
ColorGrade,3DS,8192,6.664,87031.8080,6075.3920
ColorGrade,3DS,8192,13.328,87031.8080,6928.3840
LeNet4,3DS,512,0.0,272639.7440,50612.4000
LeNet4,3DS,512,6.664,272639.7440,58849.1040
LeNet4,3DS,512,13.328,272639.7440,67085.8080
LeNet4,3DS,8192,0.0,272639.7440,50612.4000
LeNet4,3DS,8192,6.664,272639.7440,58849.1040
LeNet4,3DS,8192,13.328,272639.7440,67085.8080
LeNet1,3DS,512,0.0,68159.9360,38719.2000
LeNet1,3DS,512,6.664,68159.9360,45010.0160
LeNet1,3DS,512,13.328,68159.9360,51300.8320
LeNet1,3DS,8192,0.0,68159.9360,38719.2000
LeNet1,3DS,8192,6.664,68159.9360,45010.0160
LeNet1,3DS,8192,13.328,68159.9360,51300.8320
