time	V(bitline0)
Step Information: Run=1  (Run: 1/100)
2.663671874999998e-008	5.358611e-001
2.675390624999997e-008	5.360419e-001
2.687109374999997e-008	5.363055e-001
2.698828124999997e-008	5.366786e-001
2.710546874999997e-008	5.371900e-001
2.722265624999997e-008	5.378692e-001
2.733984374999997e-008	5.387444e-001
2.745703124999997e-008	5.398418e-001
2.769140624999996e-008	5.427848e-001
2.792578124999996e-008	5.468068e-001
2.804296874999996e-008	5.492229e-001
2.816015624999996e-008	5.518877e-001
2.827734374999996e-008	5.547681e-001
2.839453124999996e-008	5.578194e-001
2.851171874999996e-008	5.609877e-001
2.862890624999996e-008	5.642154e-001
2.874609374999995e-008	5.674447e-001
2.886328124999995e-008	5.706208e-001
2.898046874999995e-008	5.736945e-001
2.909765624999995e-008	5.766233e-001
2.921484374999995e-008	5.793726e-001
2.933203124999995e-008	5.819165e-001
2.944921874999995e-008	5.842363e-001
2.956640624999995e-008	5.863212e-001
2.968359374999995e-008	5.881662e-001
2.980078124999994e-008	5.897890e-001
2.988281250000000e-008	5.907717e-001
3.001171875000000e-008	5.921240e-001
3.008203125000000e-008	5.927080e-001
3.017578125000000e-008	5.933580e-001
3.029296875000000e-008	5.939959e-001
3.041015625000000e-008	5.944327e-001
3.052734375000000e-008	5.946736e-001
3.064453124999999e-008	5.947614e-001
3.076171874999999e-008	5.947974e-001
3.087890624999999e-008	5.949293e-001
3.099609374999999e-008	5.952457e-001
3.111328124999999e-008	5.956931e-001
3.123046874999999e-008	5.961439e-001
3.134765624999999e-008	5.965204e-001
3.146484374999999e-008	5.968266e-001
3.158203124999999e-008	5.970982e-001
3.169921874999998e-008	5.973579e-001
3.181640624999998e-008	5.976088e-001
3.193359374999998e-008	5.978489e-001
3.205078124999998e-008	5.980779e-001
3.228515624999998e-008	5.985136e-001
3.251953124999998e-008	5.989470e-001
3.287109374999997e-008	5.996466e-001
3.322265624999997e-008	6.004440e-001
3.357421874999997e-008	6.013658e-001
3.400000000000000e-008	6.026769e-001
3.401171875000000e-008	6.027198e-001
3.403515625000000e-008	6.028150e-001
3.408203125000000e-008	6.030219e-001
3.417578125000000e-008	6.034328e-001
3.429296874999999e-008	6.039150e-001
3.464453124999999e-008	6.052446e-001
3.499609374999999e-008	6.065730e-001
3.534765624999998e-008	6.079252e-001
3.558203124999998e-008	6.088240e-001
3.581640624999998e-008	6.097055e-001
3.605078124999998e-008	6.105548e-001
3.628515624999998e-008	6.113550e-001
3.651953124999997e-008	6.120887e-001
3.663671874999997e-008	6.124252e-001
3.675390624999997e-008	6.127388e-001
3.687109374999997e-008	6.130278e-001
3.698828124999997e-008	6.132908e-001
3.710546874999997e-008	6.135269e-001
3.722265624999997e-008	6.137358e-001
3.733984374999997e-008	6.139177e-001
3.745703124999996e-008	6.140732e-001
3.757421874999996e-008	6.142034e-001
3.780859374999996e-008	6.143929e-001
3.792578124999996e-008	6.144556e-001
3.804296874999996e-008	6.145000e-001
3.816015624999996e-008	6.145293e-001
3.827734374999996e-008	6.145474e-001
3.839453124999996e-008	6.145585e-001
3.851171874999995e-008	6.145662e-001
3.862890624999995e-008	6.145734e-001
3.874609374999995e-008	6.145818e-001
3.898046874999995e-008	6.146059e-001
3.921484374999995e-008	6.146406e-001
3.956640624999994e-008	6.147082e-001
3.980078124999994e-008	6.147600e-001
3.988281250000000e-008	6.147790e-001
4.000000000000000e-008	6.148065e-001
4.001171875000000e-008	6.148093e-001
4.003515625000000e-008	6.148149e-001
4.008203125000000e-008	6.148261e-001
4.017578125000000e-008	6.148488e-001
4.029296875000000e-008	6.148775e-001
4.041015624999999e-008	6.149063e-001
4.052734374999999e-008	6.149352e-001
4.064453124999999e-008	6.149642e-001
4.076171874999999e-008	6.149932e-001
4.087890624999999e-008	6.150219e-001
4.099609374999999e-008	6.150506e-001
4.111328124999999e-008	6.150789e-001
4.123046874999999e-008	6.151071e-001
4.134765624999999e-008	6.151350e-001
4.146484374999998e-008	6.151625e-001
4.158203124999998e-008	6.151897e-001
4.169921874999998e-008	6.152166e-001
4.181640624999998e-008	6.152432e-001
4.193359374999998e-008	6.152694e-001
4.205078124999998e-008	6.152953e-001
4.216796874999998e-008	6.153209e-001
4.228515624999998e-008	6.153461e-001
4.240234374999998e-008	6.153709e-001
4.251953124999997e-008	6.153955e-001
4.275390624999997e-008	6.154435e-001
4.310546874999997e-008	6.155130e-001
4.369140624999996e-008	6.156226e-001
4.400000000000000e-008	6.156775e-001
4.401171875000000e-008	6.156800e-001
4.403515625000000e-008	6.156850e-001
4.581640624999997e-008	6.159461e-001
4.827734374999995e-008	6.162254e-001
5.179296874999991e-008	6.165295e-001
5.694921874999986e-008	6.168593e-001
6.444921875000006e-008	6.172053e-001
7.546484375000058e-008	6.175649e-001
9.175390625000134e-008	6.179355e-001
1.126132812500023e-007	6.182698e-001
1.199374999999638e-007	6.183649e-001
1.200000000000000e-007	6.183656e-001
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+000	0.000000e+000
1.171874952965771e-015	2.468295e-001
1.715411419307530e-015	2.966943e-001
2.802484351991048e-015	3.019634e-001
4.976630217358085e-015	2.950035e-001
9.324921948092158e-015	2.767435e-001
1.462524431249130e-014	2.670256e-001
2.522588904128959e-014	2.627029e-001
3.976199283866805e-014	2.619692e-001
6.883420043342497e-014	2.620817e-001
1.269786156229388e-013	2.623163e-001
2.432674460019665e-013	2.627863e-001
4.758451067600219e-013	2.637382e-001
9.410004282761328e-013	2.656355e-001
1.871311071308354e-012	2.693936e-001
3.731932357372797e-012	2.767332e-001
7.453174929501682e-012	2.907133e-001
1.489566007375945e-011	3.160843e-001
2.978063036227500e-011	3.580817e-001
5.955057093930608e-011	4.169106e-001
1.190904520933683e-010	4.791742e-001
2.362779520933682e-010	5.237687e-001
3.534654520933682e-010	5.336045e-001
4.706529520933682e-010	5.338086e-001
5.878404520933683e-010	5.337402e-001
7.050279520933683e-010	5.337133e-001
8.222154520933683e-010	5.337003e-001
9.394029520933683e-010	5.336961e-001
1.056590452093368e-009	5.336949e-001
1.173777952093368e-009	5.336950e-001
1.290965452093368e-009	5.336954e-001
1.400000000000000e-009	5.334700e-001
1.410903454790663e-009	5.336207e-001
1.432710364371990e-009	5.336962e-001
9.883864321859951e-009	5.337448e-001
1.000000000000000e-008	5.337453e-001
1.001161356781401e-008	5.337454e-001
1.003484070344202e-008	5.337455e-001
1.540000000000000e-008	5.337716e-001
1.680000000000000e-008	5.337780e-001
2.000000000000000e-008	5.337919e-001
2.001153125000003e-008	5.337920e-001
2.003459375000011e-008	5.337921e-001
2.008071875000024e-008	5.337923e-001
2.017296875000052e-008	5.337929e-001
2.029015625000052e-008	5.337939e-001
2.040734375000052e-008	5.337951e-001
2.052453125000052e-008	5.337965e-001
2.064171875000052e-008	5.337981e-001
2.075890625000051e-008	5.337998e-001
2.087609375000051e-008	5.338016e-001
2.099328125000051e-008	5.338034e-001
2.111046875000051e-008	5.338053e-001
2.134484375000051e-008	5.338092e-001
2.169640625000051e-008	5.338155e-001
2.216515625000050e-008	5.338248e-001
2.251671875000050e-008	5.338325e-001
2.275109375000050e-008	5.338380e-001
2.286828125000049e-008	5.338408e-001
2.298546875000049e-008	5.338438e-001
2.310265625000049e-008	5.338467e-001
2.333703125000049e-008	5.338528e-001
2.345421875000049e-008	5.338559e-001
2.357140625000049e-008	5.338590e-001
2.368859375000049e-008	5.338621e-001
2.400000000000000e-008	5.338704e-001
2.401171875000000e-008	5.338717e-001
2.403515625000000e-008	5.338739e-001
2.464453124999999e-008	5.339007e-001
2.511328124999999e-008	5.339211e-001
2.534765624999999e-008	5.339382e-001
2.546484374999999e-008	5.339521e-001
2.558203124999999e-008	5.339730e-001
2.569921874999998e-008	5.340056e-001
2.581640624999998e-008	5.340578e-001
2.593359374999998e-008	5.341414e-001
2.605078124999998e-008	5.342739e-001
2.616796874999998e-008	5.344794e-001
2.628515624999998e-008	5.347887e-001
2.640234374999998e-008	5.352387e-001
2.651953124999998e-008	5.358695e-001
2.663671874999998e-008	5.367225e-001
2.675390624999997e-008	5.378371e-001
2.687109374999997e-008	5.392488e-001
2.710546874999997e-008	5.430735e-001
2.733984374999997e-008	5.483359e-001
2.745703124999997e-008	5.515049e-001
2.757421874999997e-008	5.550045e-001
2.769140624999996e-008	5.587946e-001
2.780859374999996e-008	5.628226e-001
2.792578124999996e-008	5.670265e-001
2.804296874999996e-008	5.713401e-001
2.816015624999996e-008	5.756967e-001
2.827734374999996e-008	5.800324e-001
2.839453124999996e-008	5.842881e-001
2.851171874999996e-008	5.884113e-001
2.862890624999996e-008	5.923573e-001
2.886328124999995e-008	5.995809e-001
2.909765624999995e-008	6.057699e-001
2.921484374999995e-008	6.084515e-001
2.933203124999995e-008	6.108575e-001
2.944921874999995e-008	6.129935e-001
2.956640624999995e-008	6.148689e-001
2.968359374999995e-008	6.164949e-001
2.980078124999994e-008	6.179004e-001
2.988281250000000e-008	6.187382e-001
3.001171875000000e-008	6.198756e-001
3.008203125000000e-008	6.203557e-001
3.017578125000000e-008	6.208803e-001
3.029296875000000e-008	6.213792e-001
3.041015625000000e-008	6.216977e-001
3.052734375000000e-008	6.218374e-001
3.064453124999999e-008	6.218269e-001
3.076171874999999e-008	6.217420e-001
3.087890624999999e-008	6.217254e-001
3.099609374999999e-008	6.219204e-001
3.111328124999999e-008	6.223537e-001
3.123046874999999e-008	6.229260e-001
3.134765624999999e-008	6.235243e-001
3.146484374999999e-008	6.241053e-001
3.158203124999999e-008	6.246784e-001
3.169921874999998e-008	6.252562e-001
3.181640624999998e-008	6.258348e-001
3.193359374999998e-008	6.264049e-001
3.205078124999998e-008	6.269629e-001
3.228515624999998e-008	6.280583e-001
3.251953124999998e-008	6.291751e-001
3.287109374999997e-008	6.310022e-001
3.322265624999997e-008	6.331071e-001
3.357421874999997e-008	6.355726e-001
3.388281250000000e-008	6.381001e-001
3.400000000000000e-008	6.391571e-001
3.401171875000000e-008	6.392656e-001
3.403515625000000e-008	6.395010e-001
3.408203125000000e-008	6.400099e-001
3.417578125000000e-008	6.410413e-001
3.429296874999999e-008	6.422819e-001
3.452734374999999e-008	6.446257e-001
3.487890624999999e-008	6.480802e-001
3.523046874999999e-008	6.515246e-001
3.558203124999998e-008	6.548436e-001
3.581640624999998e-008	6.569103e-001
3.605078124999998e-008	6.588032e-001
3.628515624999998e-008	6.604745e-001
3.651953124999997e-008	6.618831e-001
3.675390624999997e-008	6.630014e-001
3.687109374999997e-008	6.634484e-001
3.698828124999997e-008	6.638218e-001
3.710546874999997e-008	6.641250e-001
3.722265624999997e-008	6.643628e-001
3.733984374999997e-008	6.645419e-001
3.757421874999996e-008	6.647561e-001
3.769140624999996e-008	6.648082e-001
3.780859374999996e-008	6.648343e-001
3.792578124999996e-008	6.648421e-001
3.804296874999996e-008	6.648390e-001
3.816015624999996e-008	6.648313e-001
3.827734374999996e-008	6.648242e-001
3.839453124999996e-008	6.648214e-001
3.851171874999995e-008	6.648245e-001
3.862890624999995e-008	6.648344e-001
3.874609374999995e-008	6.648508e-001
3.898046874999995e-008	6.649003e-001
3.921484374999995e-008	6.649662e-001
3.956640624999994e-008	6.650823e-001
3.980078124999994e-008	6.651651e-001
3.988281250000000e-008	6.651945e-001
4.000000000000000e-008	6.652367e-001
4.003515625000000e-008	6.652493e-001
4.008203125000000e-008	6.652662e-001
4.017578125000000e-008	6.653000e-001
4.029296875000000e-008	6.653422e-001
4.041015624999999e-008	6.653844e-001
4.052734374999999e-008	6.654263e-001
4.064453124999999e-008	6.654679e-001
4.076171874999999e-008	6.655090e-001
4.087890624999999e-008	6.655498e-001
4.099609374999999e-008	6.655899e-001
4.111328124999999e-008	6.656295e-001
4.123046874999999e-008	6.656685e-001
4.134765624999999e-008	6.657069e-001
4.146484374999998e-008	6.657447e-001
4.158203124999998e-008	6.657820e-001
4.169921874999998e-008	6.658186e-001
4.181640624999998e-008	6.658546e-001
4.193359374999998e-008	6.658901e-001
4.205078124999998e-008	6.659250e-001
4.216796874999998e-008	6.659592e-001
4.228515624999998e-008	6.659930e-001
4.240234374999998e-008	6.660262e-001
4.251953124999997e-008	6.660589e-001
4.275390624999997e-008	6.661227e-001
