time	V(n001)
Step Information: Run=1  (Run: 1/100)
2.733984374999997e-08	5.844545e-01
2.745703124999997e-08	5.880628e-01
2.757421874999997e-08	5.914082e-01
2.792578124999996e-08	5.996442e-01
2.804296874999996e-08	6.017790e-01
2.816015624999996e-08	6.036278e-01
2.827734374999996e-08	6.052118e-01
2.839453124999996e-08	6.065556e-01
2.851171874999996e-08	6.076851e-01
2.862890624999996e-08	6.086268e-01
2.874609374999995e-08	6.094056e-01
2.886328124999995e-08	6.100451e-01
2.898046874999995e-08	6.105666e-01
2.909765624999995e-08	6.109890e-01
2.921484374999995e-08	6.113288e-01
2.933203124999995e-08	6.116003e-01
2.944921874999995e-08	6.118153e-01
2.956640624999995e-08	6.119839e-01
2.968359374999995e-08	6.121141e-01
2.980078124999994e-08	6.122144e-01
2.988281250000001e-08	6.122670e-01
3.001171875000000e-08	6.123297e-01
3.008203125000000e-08	6.123490e-01
3.017578125000000e-08	6.123630e-01
3.029296875000000e-08	6.123648e-01
3.041015625000000e-08	6.123487e-01
3.052734375000000e-08	6.123135e-01
3.064453124999999e-08	6.122589e-01
3.076171874999999e-08	6.121842e-01
3.087890624999999e-08	6.120907e-01
3.099609374999999e-08	6.119844e-01
3.111328124999999e-08	6.118758e-01
3.123046874999999e-08	6.117760e-01
3.134765624999999e-08	6.116914e-01
3.146484374999999e-08	6.116234e-01
3.158203124999999e-08	6.115700e-01
3.169921874999998e-08	6.115289e-01
3.181640624999998e-08	6.114985e-01
3.193359374999998e-08	6.114775e-01
3.205078124999998e-08	6.114653e-01
3.228515624999998e-08	6.114659e-01
3.251953124999998e-08	6.114989e-01
3.275390624999997e-08	6.115655e-01
3.310546874999997e-08	6.117331e-01
3.345703124999997e-08	6.119901e-01
3.388281250000000e-08	6.124341e-01
3.400000000000000e-08	6.125829e-01
3.401171875000000e-08	6.125988e-01
3.403515625000000e-08	6.126316e-01
3.408203124999999e-08	6.127006e-01
3.417578125000000e-08	6.128498e-01
3.429296874999999e-08	6.130524e-01
3.464453124999999e-08	6.137519e-01
3.499609374999999e-08	6.145725e-01
3.534765624999998e-08	6.155053e-01
3.558203124999998e-08	6.161794e-01
3.581640624999998e-08	6.168859e-01
3.605078124999998e-08	6.176170e-01
3.628515624999997e-08	6.183643e-01
3.651953124999997e-08	6.191191e-01
3.663671874999997e-08	6.194962e-01
3.675390624999997e-08	6.198711e-01
3.687109374999997e-08	6.202427e-01
3.698828124999997e-08	6.206093e-01
3.710546874999997e-08	6.209694e-01
3.722265624999997e-08	6.213215e-01
3.733984374999996e-08	6.216640e-01
3.745703124999996e-08	6.219954e-01
3.769140624999996e-08	6.226196e-01
3.780859374999996e-08	6.229100e-01
3.792578124999996e-08	6.231843e-01
3.804296874999996e-08	6.234419e-01
3.816015624999996e-08	6.236823e-01
3.827734374999996e-08	6.239055e-01
3.839453124999995e-08	6.241120e-01
3.851171874999995e-08	6.243024e-01
3.862890624999995e-08	6.244779e-01
3.886328124999995e-08	6.247889e-01
3.909765624999995e-08	6.250552e-01
3.944921874999994e-08	6.253897e-01
3.988281250000000e-08	6.257252e-01
4.001171875000000e-08	6.258130e-01
4.003515625000000e-08	6.258283e-01
4.008203125000000e-08	6.258583e-01
4.017578125000000e-08	6.259170e-01
4.029296874999999e-08	6.259877e-01
4.041015624999999e-08	6.260557e-01
4.052734374999999e-08	6.261210e-01
4.064453124999999e-08	6.261839e-01
4.076171874999999e-08	6.262444e-01
4.087890624999999e-08	6.263028e-01
4.099609374999999e-08	6.263592e-01
4.111328124999999e-08	6.264138e-01
4.123046874999999e-08	6.264666e-01
4.134765624999998e-08	6.265178e-01
4.146484374999998e-08	6.265675e-01
4.158203124999998e-08	6.266159e-01
4.169921874999998e-08	6.266629e-01
4.181640624999998e-08	6.267086e-01
4.193359374999998e-08	6.267532e-01
4.205078124999998e-08	6.267966e-01
4.228515624999998e-08	6.268805e-01
4.263671874999997e-08	6.269991e-01
4.333984374999997e-08	6.272152e-01
4.400000000000000e-08	6.273969e-01
4.401171875000000e-08	6.273999e-01
4.403515624999999e-08	6.274060e-01
4.581640624999998e-08	6.277967e-01
4.839453124999995e-08	6.282046e-01
5.202734374999992e-08	6.286145e-01
5.730078124999987e-08	6.290352e-01
6.491796875000010e-08	6.294605e-01
7.616796875000063e-08	6.298959e-01
9.280859375000141e-08	6.303377e-01
1.133164062500024e-07	6.307192e-01
1.199374999999634e-07	6.308195e-01
1.200000000000000e-07	6.308204e-01
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+00	0.000000e+00
1.171874952965771e-15	4.124331e-01
2.343749905931542e-15	5.499091e-01
4.687499811863085e-15	5.499069e-01
8.862127488294331e-15	5.499061e-01
1.721138284115682e-14	5.499044e-01
2.759383758086058e-14	5.499023e-01
4.835874706026808e-14	5.498981e-01
8.988856601908309e-14	5.498896e-01
1.729482039367131e-13	5.498726e-01
3.390674797719732e-13	5.498388e-01
6.713060314424933e-13	5.497715e-01
1.335783134783534e-12	5.496384e-01
2.664737341465614e-12	5.493781e-01
5.322645754829775e-12	5.488802e-01
1.063846258155810e-11	5.479680e-01
2.127009623501474e-11	5.464280e-01
4.253336354192803e-11	5.441896e-01
8.505989815575460e-11	5.416834e-01
1.701129673834077e-10	5.398316e-01
2.873004673834077e-10	5.395070e-01
4.044879673834078e-10	5.399005e-01
5.216754673834078e-10	5.404301e-01
6.388629673834078e-10	5.410316e-01
7.560504673834078e-10	5.417045e-01
8.732379673834078e-10	5.424325e-01
9.904254673834078e-10	5.431961e-01
1.107612967383408e-09	5.439797e-01
1.224800467383408e-09	5.447720e-01
1.282812500000000e-09	5.451649e-01
1.283975934766815e-09	5.451728e-01
1.286302804300445e-09	5.451884e-01
1.290956543367704e-09	5.452194e-01
1.300264021502222e-09	5.452808e-01
1.318878977771259e-09	5.454012e-01
1.356108890309333e-09	5.456354e-01
1.400000000000000e-09	5.459069e-01
1.404389110969067e-09	5.459305e-01
1.413167332907200e-09	5.459729e-01
1.430723776783467e-09	5.460390e-01
1.465836664536000e-09	5.461281e-01
1.536062440041067e-09	5.462416e-01
1.653249940041067e-09	5.463812e-01
2.590749940041068e-09	5.472715e-01
3.528249940041069e-09	5.479459e-01
4.700124940041066e-09	5.485617e-01
6.106374940041063e-09	5.490628e-01
7.864187440041061e-09	5.494506e-01
1.032512494004107e-08	5.497373e-01
1.430949994004109e-08	5.499153e-01
1.532837488008218e-08	5.499352e-01
1.540000000000000e-08	5.499364e-01
1.540716251199178e-08	5.499283e-01
1.542148753597534e-08	5.498994e-01
1.545013758394247e-08	5.497995e-01
1.550743767987673e-08	5.495138e-01
1.562203787174524e-08	5.488221e-01
1.573922537174524e-08	5.480532e-01
1.585641287174524e-08	5.472647e-01
1.597360037174524e-08	5.464844e-01
1.609078787174524e-08	5.457276e-01
1.620797537174524e-08	5.450128e-01
1.632516287174524e-08	5.443597e-01
1.644235037174524e-08	5.437782e-01
1.655953787174523e-08	5.432612e-01
1.669498675650953e-08	5.427148e-01
1.675130297396187e-08	5.425045e-01
1.680000000000000e-08	5.423255e-01
1.680486970260381e-08	5.423097e-01
1.681460910781144e-08	5.422817e-01
1.683408791822669e-08	5.422394e-01
1.687304553905719e-08	5.421891e-01
1.695096078071819e-08	5.421459e-01
1.706814828071819e-08	5.421276e-01
1.718533578071818e-08	5.421247e-01
2.000000000000000e-08	5.421126e-01
2.000522609215447e-08	5.421126e-01
2.001567827646341e-08	5.421126e-01
2.003658264508129e-08	5.421125e-01
2.007839138231706e-08	5.421124e-01
2.016200885678858e-08	5.421123e-01
2.027919635678858e-08	5.421122e-01
2.039638385678858e-08	5.421123e-01
2.051357135678858e-08	5.421125e-01
2.063075885678858e-08	5.421127e-01
2.074794635678858e-08	5.421130e-01
2.086513385678858e-08	5.421134e-01
2.109950885678858e-08	5.421143e-01
2.156825885678857e-08	5.421164e-01
2.400000000000000e-08	5.421389e-01
2.401171875000000e-08	5.421391e-01
2.403515625000000e-08	5.421393e-01
2.464453124999999e-08	5.421504e-01
2.487890624999999e-08	5.421667e-01
2.499609374999999e-08	5.421848e-01
2.511328124999999e-08	5.422169e-01
2.523046874999999e-08	5.422735e-01
2.534765624999999e-08	5.423717e-01
2.546484374999999e-08	5.425369e-01
2.558203124999998e-08	5.428036e-01
2.569921874999998e-08	5.432152e-01
2.581640624999998e-08	5.438194e-01
2.593359374999998e-08	5.446655e-01
2.605078124999998e-08	5.457987e-01
2.616796874999998e-08	5.472573e-01
2.651953124999998e-08	5.538158e-01
2.663671874999997e-08	5.567358e-01
2.675390624999997e-08	5.599780e-01
2.687109374999997e-08	5.634829e-01
2.698828124999997e-08	5.671749e-01
2.710546874999997e-08	5.709705e-01
2.722265624999997e-08	5.747863e-01
2.733984374999997e-08	5.785441e-01
2.745703124999997e-08	5.821751e-01
2.757421874999997e-08	5.856223e-01
2.769140624999996e-08	5.888414e-01
2.804296874999996e-08	5.968866e-01
2.816015624999996e-08	5.990078e-01
2.827734374999996e-08	6.008607e-01
2.839453124999996e-08	6.024621e-01
2.851171874999996e-08	6.038324e-01
2.862890624999996e-08	6.049946e-01
2.874609374999995e-08	6.059719e-01
2.886328124999995e-08	6.067874e-01
2.898046874999995e-08	6.074629e-01
2.909765624999995e-08	6.080185e-01
2.921484374999995e-08	6.084723e-01
2.933203124999995e-08	6.088405e-01
2.944921874999995e-08	6.091369e-01
2.956640624999995e-08	6.093734e-01
2.968359374999995e-08	6.095601e-01
2.980078124999994e-08	6.097077e-01
2.988281250000001e-08	6.097879e-01
3.001171875000000e-08	6.098880e-01
3.008203125000000e-08	6.099237e-01
3.017578125000000e-08	6.099566e-01
3.029296875000000e-08	6.099788e-01
3.041015625000000e-08	6.099797e-01
3.052734375000000e-08	6.099589e-01
3.064453124999999e-08	6.099164e-01
3.076171874999999e-08	6.098523e-01
3.087890624999999e-08	6.097683e-01
3.099609374999999e-08	6.096702e-01
3.111328124999999e-08	6.095680e-01
3.123046874999999e-08	6.094713e-01
3.134765624999999e-08	6.093856e-01
3.146484374999999e-08	6.093113e-01
3.158203124999999e-08	6.092469e-01
3.169921874999998e-08	6.091903e-01
3.181640624999998e-08	6.091405e-01
3.193359374999998e-08	6.090968e-01
3.205078124999998e-08	6.090589e-01
3.228515624999998e-08	6.090008e-01
3.251953124999998e-08	6.089669e-01
3.275390624999997e-08	6.089594e-01
3.310546874999997e-08	6.090019e-01
3.345703124999997e-08	6.091157e-01
3.388281250000000e-08	6.093588e-01
3.400000000000000e-08	6.094466e-01
3.401171875000000e-08	6.094562e-01
3.403515625000000e-08	6.094760e-01
3.408203124999999e-08	6.095183e-01
3.417578125000000e-08	6.096115e-01
3.429296874999999e-08	6.097406e-01
3.476171874999999e-08	6.103757e-01
3.511328124999999e-08	6.109644e-01
3.546484374999998e-08	6.116402e-01
3.569921874999998e-08	6.121314e-01
3.593359374999998e-08	6.126494e-01
3.616796874999998e-08	6.131890e-01
3.640234374999997e-08	6.137443e-01
3.651953124999997e-08	6.140258e-01
3.663671874999997e-08	6.143088e-01
3.675390624999997e-08	6.145922e-01
3.687109374999997e-08	6.148749e-01
3.698828124999997e-08	6.151559e-01
3.710546874999997e-08	6.154341e-01
3.722265624999997e-08	6.157081e-01
3.733984374999996e-08	6.159769e-01
3.745703124999996e-08	6.162391e-01
3.757421874999996e-08	6.164936e-01
3.780859374999996e-08	6.169749e-01
3.792578124999996e-08	6.171997e-01
3.804296874999996e-08	6.174124e-01
3.816015624999996e-08	6.176128e-01
3.827734374999996e-08	6.178003e-01
3.839453124999995e-08	6.179749e-01
3.851171874999995e-08	6.181371e-01
3.862890624999995e-08	6.182873e-01
3.886328124999995e-08	6.185553e-01
3.909765624999995e-08	6.187861e-01
3.944921874999994e-08	6.190774e-01
3.988281250000000e-08	6.193706e-01
4.001171875000000e-08	6.194475e-01
4.003515625000000e-08	6.194608e-01
4.008203125000000e-08	6.194872e-01
4.017578125000000e-08	6.195385e-01
4.029296874999999e-08	6.196005e-01
4.041015624999999e-08	6.196601e-01
4.052734374999999e-08	6.197174e-01
4.064453124999999e-08	6.197726e-01
4.076171874999999e-08	6.198256e-01
4.087890624999999e-08	6.198769e-01
4.099609374999999e-08	6.199263e-01
4.111328124999999e-08	6.199743e-01
4.123046874999999e-08	6.200206e-01
4.134765624999998e-08	6.200656e-01
4.146484374999998e-08	6.201093e-01
4.158203124999998e-08	6.201516e-01
4.169921874999998e-08	6.201929e-01
4.181640624999998e-08	6.202331e-01
4.193359374999998e-08	6.202722e-01
4.205078124999998e-08	6.203104e-01
4.216796874999998e-08	6.203476e-01
4.240234374999997e-08	6.204195e-01
4.275390624999997e-08	6.205215e-01
4.345703124999996e-08	6.207075e-01
4.400000000000000e-08	6.208376e-01
4.401171875000000e-08	6.208403e-01
4.403515624999999e-08	6.208456e-01
4.581640624999998e-08	6.211904e-01
4.827734374999995e-08	6.215372e-01
5.179296874999992e-08	6.218944e-01
5.683203124999987e-08	6.222593e-01
6.409765625000006e-08	6.226307e-01
7.464453125000055e-08	6.230077e-01
9.023046875000128e-08	6.233935e-01
1.123789062500023e-07	6.237718e-01
1.199374999999634e-07	6.238744e-01
1.200000000000000e-07	6.238753e-01
Step Information: Run=3  (Run: 3/100)
0.000000000000000e+00	0.000000e+00
1.171874952965771e-15	4.124283e-01
2.343749905931542e-15	5.499026e-01
4.687499811863085e-15	5.499002e-01
8.882569116722474e-15	5.498993e-01
1.727270772644125e-14	5.498976e-01
2.768585446526438e-14	5.498954e-01
4.851214794291063e-14	5.498911e-01
9.016473489820313e-14	5.498823e-01
1.734699088087881e-13	5.498649e-01
3.400802566299581e-13	5.498301e-01
6.733009522722982e-13	5.497608e-01
1.339742343556978e-12	5.496240e-01
2.672625126126338e-12	5.493563e-01
5.338390691265058e-12	5.488449e-01
1.066992182154250e-11	5.479093e-01
2.133298408209738e-11	5.463346e-01
4.265910860320714e-11	5.440592e-01
8.531135764542666e-11	5.415399e-01
1.706158557298657e-10	5.397252e-01
2.878033557298657e-10	5.394588e-01
4.049908557298657e-10	5.398867e-01
5.221783557298657e-10	5.404364e-01
6.393658557298657e-10	5.410554e-01
7.565533557298657e-10	5.417463e-01
8.737408557298657e-10	5.424930e-01
9.909283557298657e-10	5.432759e-01
1.108115855729866e-09	5.440789e-01
1.225303355729866e-09	5.448907e-01
1.282812500000000e-09	5.452895e-01
1.284981711459731e-09	5.453045e-01
1.289320134379192e-09	5.453342e-01
1.297996980218114e-09	5.453931e-01
1.315350671895959e-09	5.455086e-01
1.350058055251649e-09	5.457321e-01
1.400000000000000e-09	5.460429e-01
1.404994194474835e-09	5.460696e-01
1.414982583424506e-09	5.461161e-01
1.434959361323846e-09	5.461864e-01
1.474912917122528e-09	5.462786e-01
1.554820028719890e-09	5.463971e-01
1.672007528719890e-09	5.465313e-01
2.492320028719891e-09	5.473100e-01
3.429820028719892e-09	5.479901e-01
4.484507528719890e-09	5.485527e-01
5.773570028719887e-09	5.490312e-01
7.414195028719882e-09	5.494178e-01
9.640757528719892e-09	5.497062e-01
1.303919502871991e-08	5.498925e-01
1.536149545951859e-08	5.499431e-01
1.540000000000000e-08	5.499436e-01
1.540385045404814e-08	5.499411e-01
1.541155136214442e-08	5.499310e-01
1.542695317833698e-08	5.498930e-01
1.545775681072211e-08	5.497722e-01
1.551936407549236e-08	5.494449e-01
1.563655157549235e-08	5.487093e-01
1.575373907549235e-08	5.479177e-01
1.587092657549235e-08	5.471104e-01
1.598811407549235e-08	5.463136e-01
1.610530157549235e-08	5.455431e-01
1.622248907549235e-08	5.448183e-01
1.633967657549235e-08	5.441588e-01
1.645686407549235e-08	5.435727e-01
1.657405157549235e-08	5.430508e-01
1.669123907549234e-08	5.425742e-01
1.680000000000000e-08	5.421548e-01
1.681087609245077e-08	5.421231e-01
1.683262827735230e-08	5.420733e-01
1.687613264715536e-08	5.420157e-01
1.696314138676148e-08	5.419700e-01
1.708032888676148e-08	5.419545e-01
1.743189138676148e-08	5.419520e-01
2.000000000000000e-08	5.419452e-01
2.001071711132385e-08	5.419452e-01
2.003215133397156e-08	5.419452e-01
2.007501977926698e-08	5.419451e-01
2.016075666985782e-08	5.419451e-01
2.027794416985782e-08	5.419453e-01
2.039513166985782e-08	5.419456e-01
2.051231916985782e-08	5.419459e-01
2.062950666985782e-08	5.419464e-01
2.074669416985782e-08	5.419469e-01
2.086388166985781e-08	5.419475e-01
2.109825666985781e-08	5.419489e-01
2.156700666985781e-08	5.419520e-01
2.400000000000000e-08	5.419797e-01
2.401171875000000e-08	5.419799e-01
2.403515625000000e-08	5.419802e-01
2.476171874999999e-08	5.419925e-01
2.499609374999999e-08	5.420052e-01
2.511328124999999e-08	5.420183e-01
2.523046874999999e-08	5.420408e-01
2.534765624999999e-08	5.420797e-01
2.546484374999999e-08	5.421466e-01
2.558203124999998e-08	5.422592e-01
2.569921874999998e-08	5.424433e-01
2.581640624999998e-08	5.427328e-01
2.593359374999998e-08	5.431688e-01
2.605078124999998e-08	5.437961e-01
2.616796874999998e-08	5.446599e-01
2.628515624999998e-08	5.458016e-01
2.640234374999998e-08	5.472569e-01
2.663671874999997e-08	5.512053e-01
2.675390624999997e-08	5.537196e-01
2.687109374999997e-08	5.565837e-01
2.698828124999997e-08	5.597663e-01
2.710546874999997e-08	5.632166e-01
2.722265624999997e-08	5.668679e-01
2.733984374999997e-08	5.706456e-01
2.745703124999997e-08	5.744727e-01
2.757421874999997e-08	5.782756e-01
2.769140624999996e-08	5.819875e-01
2.780859374999996e-08	5.855511e-01
2.792578124999996e-08	5.889196e-01
2.816015624999996e-08	5.949419e-01
2.851171874999996e-08	6.019868e-01
2.862890624999996e-08	6.038134e-01
2.874609374999995e-08	6.054011e-01
2.886328124999995e-08	6.067690e-01
2.898046874999995e-08	6.079375e-01
2.909765624999995e-08	6.089279e-01
2.921484374999995e-08	6.097611e-01
2.933203124999995e-08	6.104569e-01
2.944921874999995e-08	6.110338e-01
2.956640624999995e-08	6.115084e-01
2.968359374999995e-08	6.118957e-01
2.980078124999994e-08	6.122131e-01
2.988281250000001e-08	6.123935e-01
3.001171875000000e-08	6.126295e-01
3.008203125000000e-08	6.127241e-01
3.017578125000000e-08	6.128247e-01
3.029296875000000e-08	6.129183e-01
3.041015625000000e-08	6.129766e-01
3.052734375000000e-08	6.130010e-01
3.064453124999999e-08	6.129940e-01
3.076171874999999e-08	6.129571e-01
3.087890624999999e-08	6.128938e-01
3.099609374999999e-08	6.128111e-01
3.111328124999999e-08	6.127213e-01
3.123046874999999e-08	6.126371e-01
3.134765624999999e-08	6.125667e-01
3.146484374999999e-08	6.125122e-01
3.158203124999999e-08	6.124715e-01
3.169921874999998e-08	6.124417e-01
3.181640624999998e-08	6.124209e-01
3.193359374999998e-08	6.124079e-01
3.205078124999998e-08	6.124022e-01
3.228515624999998e-08	6.124121e-01
3.251953124999998e-08	6.124511e-01
3.275390624999997e-08	6.125213e-01
3.310546874999997e-08	6.126913e-01
3.345703124999997e-08	6.129483e-01
3.388281250000000e-08	6.133912e-01
3.400000000000000e-08	6.135397e-01
3.401171875000000e-08	6.135557e-01
3.403515625000000e-08	6.135884e-01
3.408203124999999e-08	6.136574e-01
3.417578125000000e-08	6.138065e-01
3.429296874999999e-08	6.140094e-01
3.464453124999999e-08	6.147120e-01
3.499609374999999e-08	6.155332e-01
3.534765624999998e-08	6.164553e-01
3.558203124999998e-08	6.171159e-01
3.581640624999998e-08	6.178061e-01
3.605078124999998e-08	6.185192e-01
3.628515624999997e-08	6.192476e-01
3.651953124999997e-08	6.199827e-01
3.663671874999997e-08	6.203496e-01
3.675390624999997e-08	6.207144e-01
3.687109374999997e-08	6.210757e-01
3.698828124999997e-08	6.214319e-01
3.710546874999997e-08	6.217815e-01
3.722265624999997e-08	6.221231e-01
3.733984374999996e-08	6.224552e-01
3.745703124999996e-08	6.227763e-01
3.769140624999996e-08	6.233802e-01
3.780859374999996e-08	6.236606e-01
3.792578124999996e-08	6.239251e-01
3.804296874999996e-08	6.241732e-01
3.816015624999996e-08	6.244043e-01
3.827734374999996e-08	6.246185e-01
3.839453124999995e-08	6.248163e-01
3.851171874999995e-08	6.249986e-01
