time	V(bitline0)
Step Information: Run=1  (Run: 1/100)
0.000000000000000e+000	0.000000e+000
1.171874952965771e-015	2.444285e-001
1.694697370553375e-015	2.965330e-001
2.740342205728584e-015	3.110910e-001
4.831631876079000e-015	3.108009e-001
9.014211216779832e-015	2.962537e-001
1.460725290740989e-014	2.872449e-001
2.462749604749856e-014	2.838488e-001
4.055000222170695e-014	2.834933e-001
7.239501457012374e-014	2.836515e-001
1.360850392669573e-013	2.839344e-001
2.634650886606245e-013	2.844970e-001
5.182251874479587e-013	2.856262e-001
1.027745385022627e-012	2.878693e-001
2.046785780171964e-012	2.922933e-001
4.084866570470638e-012	3.008737e-001
8.161028151067985e-012	3.170045e-001
1.631335131226268e-011	3.455639e-001
3.261799763465208e-011	3.907664e-001
6.522729027943086e-011	4.495213e-001
1.304458755689884e-010	5.056891e-001
2.476333755689884e-010	5.378761e-001
3.648208755689884e-010	5.441958e-001
4.820083755689885e-010	5.453814e-001
5.991958755689885e-010	5.468466e-001
7.163833755689885e-010	5.483307e-001
8.335708755689885e-010	5.496764e-001
9.507583755689884e-010	5.508332e-001
1.067945875568988e-009	5.518578e-001
1.185133375568988e-009	5.527834e-001
1.282812500000000e-009	5.534417e-001
1.400000000000000e-009	5.538393e-001
1.411718750000000e-009	5.526208e-001
1.435156250000000e-009	5.506719e-001
1.482031250000000e-009	5.487123e-001
1.575781250000000e-009	5.476564e-001
1.692968750000000e-009	5.475665e-001
2.396093750000001e-009	5.480566e-001
3.333593750000002e-009	5.485510e-001
4.388281250000001e-009	5.489574e-001
5.560156249999998e-009	5.492754e-001
7.083593749999994e-009	5.495467e-001
9.075781250000000e-009	5.497518e-001
1.200546875000001e-008	5.498935e-001
1.528671875000002e-008	5.499541e-001
1.540000000000000e-008	5.499553e-001
1.541132812500000e-008	5.484374e-001
1.543398437499999e-008	5.462027e-001
1.547929687499998e-008	5.437006e-001
1.556992187499997e-008	5.412779e-001
1.568710937499996e-008	5.396378e-001
1.580429687499996e-008	5.386413e-001
1.592148437499996e-008	5.379099e-001
1.603867187499996e-008	5.373547e-001
1.615585937499996e-008	5.370442e-001
1.627304687499996e-008	5.370295e-001
1.639023437499996e-008	5.372059e-001
1.650742187499996e-008	5.373586e-001
1.662460937499995e-008	5.373713e-001
1.670703124999718e-008	5.372790e-001
1.678437499983815e-008	5.371322e-001
1.680000000000000e-008	5.370990e-001
1.680156250001618e-008	5.372211e-001
1.680468750004855e-008	5.374553e-001
1.681093750011329e-008	5.378801e-001
1.682343750024276e-008	5.385817e-001
1.684843750050171e-008	5.395679e-001
1.689843750101962e-008	5.406272e-001
1.699843750205542e-008	5.414152e-001
1.711562500205542e-008	5.416285e-001
2.000000000000000e-008	5.416361e-001
2.001171875000000e-008	5.416360e-001
2.003515625000000e-008	5.416360e-001
2.008203125000000e-008	5.416358e-001
2.017578125000000e-008	5.416356e-001
