time	V(bitline0)
Step Information: Run=1  (Run: 1/100)
2.008071875000024e-008	5.416100e-001
2.017296875000052e-008	5.416099e-001
2.029015625000052e-008	5.416098e-001
2.040734375000052e-008	5.416099e-001
2.052453125000052e-008	5.416101e-001
2.064171875000052e-008	5.416104e-001
2.075890625000051e-008	5.416108e-001
2.087609375000051e-008	5.416112e-001
2.099328125000051e-008	5.416117e-001
2.122765625000051e-008	5.416127e-001
2.157921875000051e-008	5.416145e-001
2.193078125000050e-008	5.416167e-001
2.228234375000050e-008	5.416192e-001
2.251671875000050e-008	5.416209e-001
2.263390625000050e-008	5.416216e-001
2.275109375000050e-008	5.416223e-001
2.286828125000049e-008	5.416226e-001
2.298546875000049e-008	5.416228e-001
2.310265625000049e-008	5.416226e-001
2.321984375000049e-008	5.416220e-001
2.333703125000049e-008	5.416211e-001
2.345421875000049e-008	5.416199e-001
2.368859375000049e-008	5.416165e-001
2.400000000000000e-008	5.416110e-001
2.401171875000000e-008	5.416105e-001
2.403515625000000e-008	5.416098e-001
2.452734375000000e-008	5.415999e-001
2.464453124999999e-008	5.415990e-001
2.476171874999999e-008	5.416002e-001
2.487890624999999e-008	5.416051e-001
2.499609374999999e-008	5.416158e-001
2.511328124999999e-008	5.416359e-001
2.523046874999999e-008	5.416708e-001
2.534765624999999e-008	5.417292e-001
2.546484374999999e-008	5.418243e-001
2.558203124999999e-008	5.419744e-001
2.569921874999998e-008	5.422019e-001
2.581640624999998e-008	5.425327e-001
2.593359374999998e-008	5.429941e-001
2.605078124999998e-008	5.436137e-001
2.616796874999998e-008	5.444173e-001
2.628515624999998e-008	5.454274e-001
2.651953124999998e-008	5.481313e-001
2.663671874999998e-008	5.498382e-001
2.675390624999997e-008	5.517739e-001
2.687109374999997e-008	5.539200e-001
2.698828124999997e-008	5.562502e-001
2.710546874999997e-008	5.587331e-001
2.722265624999997e-008	5.613350e-001
2.733984374999997e-008	5.640213e-001
2.745703124999997e-008	5.667585e-001
2.757421874999997e-008	5.695145e-001
2.769140624999996e-008	5.722599e-001
2.780859374999996e-008	5.749683e-001
2.804296874999996e-008	5.801845e-001
2.827734374999996e-008	5.850180e-001
2.874609374999995e-008	5.932150e-001
2.898046874999995e-008	5.965228e-001
2.921484374999995e-008	5.993161e-001
2.933203124999995e-008	6.005293e-001
2.944921874999995e-008	6.016260e-001
2.956640624999995e-008	6.026112e-001
2.968359374999995e-008	6.034889e-001
2.980078124999994e-008	6.042709e-001
2.988281250000000e-008	6.047534e-001
3.001171875000000e-008	6.054308e-001
3.008203125000000e-008	6.057348e-001
3.017578125000000e-008	6.060832e-001
3.029296875000000e-008	6.064391e-001
3.041015625000000e-008	6.066995e-001
3.052734375000000e-008	6.068587e-001
3.064453124999999e-008	6.069195e-001
3.076171874999999e-008	6.069014e-001
3.087890624999999e-008	6.068621e-001
3.099609374999999e-008	6.068884e-001
3.111328124999999e-008	6.070334e-001
3.123046874999999e-008	6.072729e-001
3.134765624999999e-008	6.075416e-001
3.146484374999999e-008	6.077923e-001
3.158203124999999e-008	6.080127e-001
3.169921874999998e-008	6.082094e-001
3.181640624999998e-008	6.083913e-001
3.193359374999998e-008	6.085636e-001
3.205078124999998e-008	6.087290e-001
3.228515624999998e-008	6.090503e-001
3.251953124999998e-008	6.093768e-001
3.287109374999997e-008	6.099099e-001
3.322265624999997e-008	6.105212e-001
3.357421874999997e-008	6.112300e-001
3.400000000000000e-008	6.122382e-001
3.401171875000000e-008	6.122753e-001
3.403515625000000e-008	6.123562e-001
3.408203125000000e-008	6.125294e-001
3.417578125000000e-008	6.128716e-001
3.429296874999999e-008	6.132721e-001
3.464453124999999e-008	6.143761e-001
3.499609374999999e-008	6.154951e-001
3.534765624999998e-008	6.166675e-001
3.558203124999998e-008	6.174678e-001
3.581640624999998e-008	6.182698e-001
3.605078124999998e-008	6.190603e-001
3.628515624999998e-008	6.198251e-001
3.651953124999997e-008	6.205484e-001
3.663671874999997e-008	6.208895e-001
3.675390624999997e-008	6.212143e-001
3.687109374999997e-008	6.215208e-001
3.698828124999997e-008	6.218070e-001
3.710546874999997e-008	6.220715e-001
3.722265624999997e-008	6.223129e-001
3.733984374999997e-008	6.225302e-001
3.745703124999996e-008	6.227227e-001
3.757421874999996e-008	6.228902e-001
3.780859374999996e-008	6.231503e-001
3.792578124999996e-008	6.232440e-001
3.804296874999996e-008	6.233160e-001
3.816015624999996e-008	6.233695e-001
3.827734374999996e-008	6.234086e-001
3.839453124999996e-008	6.234379e-001
3.851171874999995e-008	6.234617e-001
3.862890624999995e-008	6.234829e-001
3.886328124999995e-008	6.235262e-001
3.909765624999995e-008	6.235759e-001
3.944921874999995e-008	6.236632e-001
3.988281250000000e-008	6.237838e-001
4.001171875000000e-008	6.238208e-001
4.003515625000000e-008	6.238276e-001
4.008203125000000e-008	6.238412e-001
4.017578125000000e-008	6.238684e-001
4.029296875000000e-008	6.239026e-001
4.041015624999999e-008	6.239368e-001
4.052734374999999e-008	6.239709e-001
4.064453124999999e-008	6.240048e-001
4.076171874999999e-008	6.240385e-001
4.087890624999999e-008	6.240720e-001
4.099609374999999e-008	6.241050e-001
4.111328124999999e-008	6.241378e-001
4.123046874999999e-008	6.241701e-001
4.134765624999999e-008	6.242021e-001
4.146484374999998e-008	6.242337e-001
4.158203124999998e-008	6.242648e-001
4.169921874999998e-008	6.242955e-001
4.181640624999998e-008	6.243259e-001
4.193359374999998e-008	6.243557e-001
4.205078124999998e-008	6.243852e-001
4.216796874999998e-008	6.244143e-001
4.228515624999998e-008	6.244429e-001
4.251953124999997e-008	6.244990e-001
4.287109374999997e-008	6.245800e-001
4.345703124999996e-008	6.247074e-001
4.400000000000000e-008	6.248177e-001
4.401171875000000e-008	6.248197e-001
4.403515625000000e-008	6.248238e-001
4.581640624999997e-008	6.251053e-001
4.827734374999995e-008	6.254080e-001
5.179296874999991e-008	6.257355e-001
5.694921874999986e-008	6.260890e-001
6.444921875000006e-008	6.264584e-001
7.546484375000058e-008	6.268415e-001
9.175390625000134e-008	6.272355e-001
1.139023437500024e-007	6.276088e-001
1.199374999999638e-007	6.276911e-001
1.200000000000000e-007	6.276919e-001
Step Information: Run=2  (Run: 2/100)
0.000000000000000e+000	0.000000e+000
1.171874952965771e-015	2.499656e-001
1.688943863251553e-015	3.029480e-001
2.723081683823117e-015	3.184418e-001
4.791357324966245e-015	3.194993e-001
8.927908607252501e-015	3.060942e-001
1.437390891579694e-014	2.974819e-001
2.438617436198600e-014	2.939386e-001
4.012910040760420e-014	2.934931e-001
7.161495249884061e-014	2.936461e-001
1.345866566813134e-013	2.939100e-001
2.605300650462591e-013	2.944360e-001
5.124168817761504e-013	2.954919e-001
1.016190515235933e-012	2.975901e-001
2.023737782155498e-012	3.017304e-001
4.038832315994629e-012	3.097680e-001
8.069021383672889e-012	3.249055e-001
1.612939951902941e-011	3.518000e-001
3.225015578974245e-011	3.946482e-001
6.449166833116854e-011	4.509843e-001
1.289746934140207e-010	5.057471e-001
2.461621934140207e-010	5.382509e-001
3.633496934140207e-010	5.448406e-001
4.805371934140208e-010	5.460229e-001
5.977246934140208e-010	5.474734e-001
7.149121934140208e-010	5.489626e-001
8.320996934140208e-010	5.503176e-001
9.492871934140207e-010	5.514807e-001
1.066474693414021e-009	5.525063e-001
1.183662193414021e-009	5.534219e-001
