workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
CRC32, DDR4, 256, 6.664, 128528455.2348, 260306.0626
CRC32, DDR4, 256, 13.328, 128528455.2348, 287708.4306
CRC32, DDR4, 2048, 0.0, 128528455.2348, 29112.9746
CRC32, DDR4, 2048, 6.664, 128528455.2348, 32538.2706
CRC32, DDR4, 2048, 13.328, 128528455.2348, 35963.5666
Salsa20, DDR4, 1, 0.0, 514486065.4191, 256125173.8184
Salsa20, DDR4, 1, 6.664, 514486065.4191, 256125173.8184
Salsa20, DDR4, 1, 13.328, 514486065.4191, 256125173.8184
Salsa20, DDR4, 16, 0.0, 514486065.4191, 16007823.4184
Salsa20, DDR4, 16, 6.664, 514486065.4191, 17891229.7544
Salsa20, DDR4, 16, 13.328, 514486065.4191, 19774636.0904
Salsa20, DDR4, 256, 0.0, 514486065.4191, 1000489.0184
Salsa20, DDR4, 256, 6.664, 514486065.4191, 1118201.9144
Salsa20, DDR4, 256, 13.328, 514486065.4191, 1235914.8104
Salsa20, DDR4, 2048, 0.0, 514486065.4191, 125061.1784
Salsa20, DDR4, 2048, 6.664, 514486065.4191, 139775.2904
Salsa20, DDR4, 2048, 13.328, 514486065.4191, 154489.4024
VMPC, DDR4, 1, 0.0, 14012530.2400, 954014027.5200
VMPC, DDR4, 1, 6.664, 14012530.2400, 954014027.5200
VMPC, DDR4, 1, 13.328, 14012530.2400, 954014027.5200
VMPC, DDR4, 16, 0.0, 14012530.2400, 59625876.7200
VMPC, DDR4, 16, 6.664, 14012530.2400, 66641136.1600
VMPC, DDR4, 16, 13.328, 14012530.2400, 73656395.6000
VMPC, DDR4, 256, 0.0, 14012530.2400, 3728993.5200
VMPC, DDR4, 256, 6.664, 14012530.2400, 4167684.6400
VMPC, DDR4, 256, 13.328, 14012530.2400, 4606375.7600
VMPC, DDR4, 2048, 0.0, 14012530.2400, 468342.0000
VMPC, DDR4, 2048, 6.664, 14012530.2400, 523399.9680
VMPC, DDR4, 2048, 13.328, 14012530.2400, 578457.9360
BitWiseOps, DDR4, 1, 0.0, 910.8800, 60944.6400
BitWiseOps, DDR4, 1, 6.664, 910.8800, 60944.6400
BitWiseOps, DDR4, 1, 13.328, 910.8800, 60944.6400
BitWiseOps, DDR4, 16, 0.0, 910.8800, 3809.0400
BitWiseOps, DDR4, 16, 6.664, 910.8800, 4255.5280
BitWiseOps, DDR4, 16, 13.328, 910.8800, 4702.0160
BitWiseOps, DDR4, 256, 0.0, 910.8800, 3809.0400
BitWiseOps, DDR4, 256, 6.664, 910.8800, 4255.5280
BitWiseOps, DDR4, 256, 13.328, 910.8800, 4702.0160
BitWiseOps, DDR4, 2048, 0.0, 910.8800, 3809.0400
BitWiseOps, DDR4, 2048, 6.664, 910.8800, 4255.5280
BitWiseOps, DDR4, 2048, 13.328, 910.8800, 4702.0160
BitCount, DDR4, 1, 0.0, 855.2000, 58225.9200
BitCount, DDR4, 1, 6.664, 855.2000, 58225.9200
BitCount, DDR4, 1, 13.328, 855.2000, 58225.9200
BitCount, DDR4, 16, 0.0, 855.2000, 3639.1200
BitCount, DDR4, 16, 6.664, 855.2000, 4065.6160
BitCount, DDR4, 16, 13.328, 855.2000, 4492.1120
BitCount, DDR4, 256, 0.0, 855.2000, 3639.1200
BitCount, DDR4, 256, 6.664, 855.2000, 4065.6160
BitCount, DDR4, 256, 13.328, 855.2000, 4492.1120
BitCount, DDR4, 2048, 0.0, 855.2000, 3639.1200
BitCount, DDR4, 2048, 6.664, 855.2000, 4065.6160
BitCount, DDR4, 2048, 13.328, 855.2000, 4492.1120
BitCount_short, DDR4, 1, 0.0, 60.3200, 3851.5200
BitCount_short, DDR4, 1, 6.664, 60.3200, 3851.5200
BitCount_short, DDR4, 1, 13.328, 60.3200, 3851.5200
BitCount_short, DDR4, 16, 0.0, 60.3200, 240.7200
BitCount_short, DDR4, 16, 6.664, 60.3200, 267.3760
BitCount_short, DDR4, 16, 13.328, 60.3200, 294.0320
BitCount_short, DDR4, 256, 0.0, 60.3200, 240.7200
BitCount_short, DDR4, 256, 6.664, 60.3200, 267.3760
BitCount_short, DDR4, 256, 13.328, 60.3200, 294.0320
BitCount_short, DDR4, 2048, 0.0, 60.3200, 240.7200
BitCount_short, DDR4, 2048, 6.664, 60.3200, 267.3760
BitCount_short, DDR4, 2048, 13.328, 60.3200, 294.0320
ImgBin, DDR4, 1, 0.0, 855.2000, 58225.9200
ImgBin, DDR4, 1, 6.664, 855.2000, 58225.9200
ImgBin, DDR4, 1, 13.328, 855.2000, 58225.9200
ImgBin, DDR4, 16, 0.0, 855.2000, 3639.1200
ImgBin, DDR4, 16, 6.664, 855.2000, 4065.6160
ImgBin, DDR4, 16, 13.328, 855.2000, 4492.1120
ImgBin, DDR4, 256, 0.0, 855.2000, 3639.1200
ImgBin, DDR4, 256, 6.664, 855.2000, 4065.6160
ImgBin, DDR4, 256, 13.328, 855.2000, 4492.1120
ImgBin, DDR4, 2048, 0.0, 855.2000, 3639.1200
ImgBin, DDR4, 2048, 6.664, 855.2000, 4065.6160
ImgBin, DDR4, 2048, 13.328, 855.2000, 4492.1120
ColorGrade, DDR4, 1, 0.0, 855.2000, 58225.9200
ColorGrade, DDR4, 1, 6.664, 855.2000, 58225.9200
ColorGrade, DDR4, 1, 13.328, 855.2000, 58225.9200
ColorGrade, DDR4, 16, 0.0, 855.2000, 3639.1200
ColorGrade, DDR4, 16, 6.664, 855.2000, 4065.6160
ColorGrade, DDR4, 16, 13.328, 855.2000, 4492.1120
ColorGrade, DDR4, 256, 0.0, 855.2000, 3639.1200
ColorGrade, DDR4, 256, 6.664, 855.2000, 4065.6160
ColorGrade, DDR4, 256, 13.328, 855.2000, 4492.1120
