workload, memory, parallelism, tXAW, energy (nJ), execution time (ns)
CRC32, DDR4, 256, 6.664, 133222766.1468, 1037172.7506
CRC32, DDR4, 256, 13.328, 133222766.1468, 1146355.7266
CRC32, DDR4, 2048, 0.0, 133222766.1468, 115998.7346
CRC32, DDR4, 2048, 6.664, 133222766.1468, 129646.6066
CRC32, DDR4, 2048, 13.328, 133222766.1468, 143294.4786
Salsa20, DDR4, 1, 0.0, 533263309.0671, 967893319.7384
Salsa20, DDR4, 1, 6.664, 533263309.0671, 967893319.7384
Salsa20, DDR4, 1, 13.328, 533263309.0671, 967893319.7384
Salsa20, DDR4, 16, 0.0, 533263309.0671, 60493332.5384
Salsa20, DDR4, 16, 6.664, 533263309.0671, 67610697.7864
Salsa20, DDR4, 16, 13.328, 533263309.0671, 74728063.0344
Salsa20, DDR4, 256, 0.0, 533263309.0671, 3780833.3384
Salsa20, DDR4, 256, 6.664, 533263309.0671, 4225668.6664
Salsa20, DDR4, 256, 13.328, 533263309.0671, 4670503.9944
Salsa20, DDR4, 2048, 0.0, 533263309.0671, 472604.2184
Salsa20, DDR4, 2048, 6.664, 533263309.0671, 528208.6344
Salsa20, DDR4, 2048, 13.328, 533263309.0671, 583813.0504
VMPC, DDR4, 1, 0.0, 89121504.8320, 3801086611.2000
VMPC, DDR4, 1, 6.664, 89121504.8320, 3801086611.2000
VMPC, DDR4, 1, 13.328, 89121504.8320, 3801086611.2000
VMPC, DDR4, 16, 0.0, 89121504.8320, 237567913.2000
VMPC, DDR4, 16, 6.664, 89121504.8320, 265519008.2880
VMPC, DDR4, 16, 13.328, 89121504.8320, 293470103.3760
VMPC, DDR4, 256, 0.0, 89121504.8320, 14850370.8000
VMPC, DDR4, 256, 6.664, 89121504.8320, 16597551.6480
VMPC, DDR4, 256, 13.328, 89121504.8320, 18344732.4960
VMPC, DDR4, 2048, 0.0, 89121504.8320, 1858514.1600
VMPC, DDR4, 2048, 6.664, 89121504.8320, 2077133.3440
VMPC, DDR4, 2048, 13.328, 89121504.8320, 2295752.5280
BitWiseOps, DDR4, 1, 0.0, 5495.1680, 234716.1600
BitWiseOps, DDR4, 1, 6.664, 5495.1680, 234716.1600
BitWiseOps, DDR4, 1, 13.328, 5495.1680, 234716.1600
BitWiseOps, DDR4, 16, 0.0, 5495.1680, 14669.7600
BitWiseOps, DDR4, 16, 6.664, 5495.1680, 16395.7360
BitWiseOps, DDR4, 16, 13.328, 5495.1680, 18121.7120
BitWiseOps, DDR4, 256, 0.0, 5495.1680, 14669.7600
BitWiseOps, DDR4, 256, 6.664, 5495.1680, 16395.7360
BitWiseOps, DDR4, 256, 13.328, 5495.1680, 18121.7120
BitWiseOps, DDR4, 2048, 0.0, 5495.1680, 14669.7600
BitWiseOps, DDR4, 2048, 6.664, 5495.1680, 16395.7360
BitWiseOps, DDR4, 2048, 13.328, 5495.1680, 18121.7120
BitCount, DDR4, 1, 0.0, 5439.4880, 231997.4400
BitCount, DDR4, 1, 6.664, 5439.4880, 231997.4400
BitCount, DDR4, 1, 13.328, 5439.4880, 231997.4400
BitCount, DDR4, 16, 0.0, 5439.4880, 14499.8400
BitCount, DDR4, 16, 6.664, 5439.4880, 16205.8240
BitCount, DDR4, 16, 13.328, 5439.4880, 17911.8080
BitCount, DDR4, 256, 0.0, 5439.4880, 14499.8400
BitCount, DDR4, 256, 6.664, 5439.4880, 16205.8240
BitCount, DDR4, 256, 13.328, 5439.4880, 17911.8080
BitCount, DDR4, 2048, 0.0, 5439.4880, 14499.8400
BitCount, DDR4, 2048, 6.664, 5439.4880, 16205.8240
BitCount, DDR4, 2048, 13.328, 5439.4880, 17911.8080
BitCount_short, DDR4, 1, 0.0, 339.9680, 14499.8400
BitCount_short, DDR4, 1, 6.664, 339.9680, 14499.8400
BitCount_short, DDR4, 1, 13.328, 339.9680, 14499.8400
BitCount_short, DDR4, 16, 0.0, 339.9680, 906.2400
BitCount_short, DDR4, 16, 6.664, 339.9680, 1012.8640
BitCount_short, DDR4, 16, 13.328, 339.9680, 1119.4880
BitCount_short, DDR4, 256, 0.0, 339.9680, 906.2400
BitCount_short, DDR4, 256, 6.664, 339.9680, 1012.8640
BitCount_short, DDR4, 256, 13.328, 339.9680, 1119.4880
BitCount_short, DDR4, 2048, 0.0, 339.9680, 906.2400
BitCount_short, DDR4, 2048, 6.664, 339.9680, 1012.8640
BitCount_short, DDR4, 2048, 13.328, 339.9680, 1119.4880
ImgBin, DDR4, 1, 0.0, 5439.4880, 231997.4400
ImgBin, DDR4, 1, 6.664, 5439.4880, 231997.4400
ImgBin, DDR4, 1, 13.328, 5439.4880, 231997.4400
ImgBin, DDR4, 16, 0.0, 5439.4880, 14499.8400
ImgBin, DDR4, 16, 6.664, 5439.4880, 16205.8240
ImgBin, DDR4, 16, 13.328, 5439.4880, 17911.8080
ImgBin, DDR4, 256, 0.0, 5439.4880, 14499.8400
ImgBin, DDR4, 256, 6.664, 5439.4880, 16205.8240
ImgBin, DDR4, 256, 13.328, 5439.4880, 17911.8080
ImgBin, DDR4, 2048, 0.0, 5439.4880, 14499.8400
ImgBin, DDR4, 2048, 6.664, 5439.4880, 16205.8240
ImgBin, DDR4, 2048, 13.328, 5439.4880, 17911.8080
ColorGrade, DDR4, 1, 0.0, 5439.4880, 231997.4400
ColorGrade, DDR4, 1, 6.664, 5439.4880, 231997.4400
ColorGrade, DDR4, 1, 13.328, 5439.4880, 231997.4400
ColorGrade, DDR4, 16, 0.0, 5439.4880, 14499.8400
ColorGrade, DDR4, 16, 6.664, 5439.4880, 16205.8240
ColorGrade, DDR4, 16, 13.328, 5439.4880, 17911.8080
ColorGrade, DDR4, 256, 0.0, 5439.4880, 14499.8400
ColorGrade, DDR4, 256, 6.664, 5439.4880, 16205.8240
ColorGrade, DDR4, 256, 13.328, 5439.4880, 17911.8080
